Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Cal,Description,Ingredients,Instructions,Nutrition,Tags
Chicken fajitas,https://www.kitchenstories.com/en/recipes/chicken-fajitas,Medium 👍,20 min,0 min,0 min,2,539,Based on 144 ratings,"300 g chicken breasts, 4 flour tortillas, 1 red bell pepper, 1 tomato, 1 red onion, 1 chili, 1 tsp tomato paste, 100 ml red wine, 100 ml tomato sauce, ¼ lime, vegetable oil (for frying), salt, pepper, guacamole (for serving), shredded Emmentaler cheese, 1 tsp Kitchen Stories Viva la Spice seasoning (optional)","Remove seeds from the chili pepper and chop finely. Finely dice pepper, tomato, and onion. Cut chicken breast into pieces (approx 1cm x 1cm). Season the chicken with salt and VIVA LA SPICE seasoning (if using). Sear in some vegetable oil until golden. Add pepper, tomato, onion, and tomato paste and sauté. Deglaze with red wine. Add tomato sauce and simmer for approx. 5 – 7 min. Season with chili, lime juice, salt and pepper. Heat the tortillas and roll with guacamole, chicken filling, and grated cheese to enjoy the fajitas.","Cal539, Fat10 g, Protein43 g, Carb58 g","weeknight dinner,main,mexican,cheese,street food,comfort food,poultry,spices,latin american,Viva la Spice,savory,alcohol,grains,dairy,sauteing"
Chicken tikka masala,https://www.kitchenstories.com/en/recipes/chicken-tikka-masala,Easy 👌,30 min,25 min,30 min,4,276,Based on 192 ratings,"2 chicken breasts, 250 g tomatoes, 200 g natural yogurt, 200 g crème fraîche, 100 g onions, 1 chili, 10 g mint, 10 g cilantro, 1 bell pepper, ½ tsp coriander seed, 1 tsp cumin seed, ½ tsp chili powder, 2 tsp ground turmeric, ½ clove garlic, 5 g ginger, 1 tbsp garam masala, 150 ml water, salt, pepper, vegetable oil (for frying)","Finely dice onion and chili. Finely chop mint and cilantro. Cut chicken, tomato, and bell pepper into bite-sized cubes. Grate garlic and ginger. With a mortar and pestle, finely grind coriander seed, cumin, chili powder and half of the turmeric. In a small bowl, fold spice mixture into yogurt. Place chicken pieces in freezer bag and add spiced yogurt. Mix well and marinate in the refrigerator for at least 30 min. or ideally for a few hours. Preheat oven to 180°C/355°F. Transfer marinated chicken to a lined baking sheet and bake in oven for approx. 25 – 30 min. In a small saucepan, sauté onion in some vegetable oil over medium heat for approx. 5 – 7 min. until golden brown. Add grated ginger and garlic, as well as diced chili, bell pepper, and tomatoes and continue to sauté for approx. 4 - 5 min. Season with remaining turmeric, garam masala, salt, and pepper and allow to cook for approx. 15 min. Add crème fraîche and water to pan and stir thoroughly to incorporate. Using a hand blender, puree sauce until smooth. Add cooked chicken to pan and stir well. Season to taste with salt and pepper. Fold in chopped mint and cilantro, reserving some for garnish. Enjoy with naan bread or basmati rice!","Cal276, Fat16 g, Protein22 g, Carb10 g","indian,marinating,main,gluten free,crowd pleaser,comfort food,poultry,low carb,spices,Asian,savory,for four,dairy,herbs,oven"
The perfect sweet and sour chicken,https://www.kitchenstories.com/en/recipes/sweet-and-sour-chicken,Medium 👍,45 min,0 min,0 min,4,685,Based on 315 ratings,"400 g chicken breasts, 1 red bell pepper, 1 yellow bell pepper, 1 onion, 2 cloves garlic, 200 g pineapples, 100 g flour, 1½ tsp baking powder, 30 g starch, ½ tsp salt, 130 ml sunflower oil, 150 ml water (cold), 2 tbsp brown sugar, 3 tbsp ketchup, 1½ tbsp soy sauce, 60 ml apple cider vinegar, 1 tbsp sesame seed (for serving), scallion (for serving), rice (cooked, for serving)","Trim and core bell peppers and slice into strips. Halve the onion and slice it into half moons. Mince garlic. Trim and peel the pineapple and cut it into pieces. Slice chicken into strips. To make the tempura batter, add flour, baking powder, starch, salt, a quarter of the sunflower oil, and water to a bowl. Whisk to combine. Add chicken and toss to coat. Heat remaining sunflower oil in a wok over 170°C/340°F, add chicken, and deep fry in batches until golden brown on both sides. Transfer fried chicken to a paper towel-lined plate to drain. Drain most of the oil from the wok. Add onions and garlic and fry for approx. 30 sec. Add bell peppers and fry for approx. 1 min. Add pineapple and fry approx. 1 more min. Add brown sugar and let caramelize slightly. Add ketchup, soy sauce, and apple cider vinegar and let cook for approx. 4 min. Add chicken and toss well to combine. Before serving, sprinkle with sesame seeds. Serve sweet and sour chicken with rice and top with sliced scallions.","Cal685, Fat41 g, Protein31 g, Carb48 g","japanese,weeknight dinner,one pot,sweet,main,street food,poultry,lactose free,seeds,Asian,savory,sour,fruits,for four,frying,soy eproducts,vegetables,sauteing"
Teriyaki chicken skewers,https://www.kitchenstories.com/en/recipes/teriyaki-chicken-skewers,Easy 👌,45 min,0 min,30 min,3,357,Based on 32 ratings,"400 g chicken breast, 100 g green asparagus, 1 bell pepper (red), 1 spring onion, 50 g peanuts, 400 ml orange juice, 100 ml soy sauce, 50 ml mirin, 1 stalk lemon grass, 3 garlic, 1 chili pepper, 3 tbsp brown sugar, olive oil for frying, Romaine lettuce to serve","Preheat the grill. Cut chicken breast into bite-sized pieces. Finely mince garlic cloves. Remove the seeds from chili pepper and finely chop. Cut red bell pepper and green asparagus into bite-sized pieces. For the marinade, roast minced garlic in some olive oil. Add soy sauce, mirin, lemon grass, brown sugar, diced chili pepper, and orange juice. Allow the sauce to reduce for approx. 8 – 10 min. on medium to high heat. Then allow to cool for 10 – 15 min. Marinate chicken breast, bell pepper, and asparagus in the Teriyaki sauce and chill for approx. 30 – 40 min. Alternating, thread chicken breast, pepper, and asparagus onto skewers. Coarsely chop peanuts and cut spring onion into fine rings. Grill skewers on all sides (approx. 6 – 8 min.) and place each one on a salad leave. Sprinkle spring onion and peanuts on top before serving.","Cal357, Fat8 g, Protein31 g, Carb32 g","marinating,japanese,starter,side,barbecue,nuts,main,street food,poultry,lactose free,finger food,Asian,savory,grilling,for two,soy eproducts,herbs,summer"
Chicken and broccoli stir-fry,https://www.kitchenstories.com/en/recipes/chicken-and-broccoli-stir-fry,Easy 👌,30 min,0 min,0 min,4,492,Based on 142 ratings,"500 g chicken breast, 300 g broccoli, 1 red onion, 1 clove garlic, 30 g ginger, 3 green onions, 20 g cilantro, 150 ml chicken stock, 30 ml soy sauce, 30 ml rice wine, 150 g peanuts, peanut oil for frying, pepper","Remove florets from broccoli. Peel and slice red onion and garlic. Peel and chop ginger. Cut green onions into fine rings, chop cilantro, and cut chicken breasts into strips. In a measuring cup, mix chicken stock, soy sauce, and rice wine and stir to combine. Toast peanuts in a wok set over medium-high heat for approx. 2 – 3 min., or until golden brown and fragrant. Remove from pan and set aside. Heat peanut oil in wok and sauté garlic and ginger for approx. 2 min. Add chicken breast, onion, and broccoli and fry for approx. 3 – 5 min. Add chicken stock mixture and let simmer for approx. 3 – 5 min. Season with pepper. Add toasted peanuts, green onion, and cilantro to wok, then remove from heat and stir to combine. Enjoy!","Cal492, Fat28 g, Protein50 g, Carb9 g","weeknight dinner,nuts,main,crowd pleaser,comfort food,poultry,dinner party,low carb,lactose free,Asian,light,savory,frying,vegetables"
One-pot creamy Cajun chicken pasta,https://www.kitchenstories.com/en/recipes/one-pot-creamy-cajun-chicken-pasta,Easy 👌,30 min,0 min,0 min,4,1225,Based on 186 ratings,"700 g chicken breasts, 3 tbsp Cajun seasoning, 500 g penne, 1 red bell pepper, 1 green bell pepper, 1 onion, 2 cloves garlic, 3 tbsp olive oil, 50 g butter, 400 g canned diced tomatoes, 750 ml chicken stock, 200 g cream cheese, 10 g parsley (for serving), salt, pepper","Cut the chicken into equal bite-sized cubes. Deseed the peppers and cut them into squares. Finely dice the onion and garlic. Toss the diced chicken with the Cajun seasoning and season with salt. Heat the oil and butter in a large pot. Add the chicken and sear for approx. 4—5 min, tossing regularly. The chicken does not need to be cooked through, as it will continue cooking later on. Remove the chicken from the pan and transfer to a bowl. Next, add the diced onion and bell pepper to the pot and sauté for approx. 4—5 min. until soft. Then, add the garlic and fry, for another 30 sec. Transfer the chicken back to the pan and add the pasta, diced tomatoes, and chicken stock. Add more stock or water to cover the pasta if needed. Now bring to a boil, then reduce the heat and let simmer for approx. 10 min., until the pasta is al dente and the chicken is cooked through. Stir in the cream cheese until it is melted and incorporated into the sauce. Season to taste with salt and pepper and serve the pasta with freshly chopped parsley. Enjoy!","Cal1225, Fat58 g, Protein61 g, Carb114 g","weeknight dinner,one pot,spicy,main,american,pasta,poultry,spices,savory,for four,frying,dairy,herbs,vegetables"
Chicken Parmesan,https://www.kitchenstories.com/en/recipes/chicken-parmesan,Easy 👌,35 min,0 min,0 min,2,634,Based on 186 ratings,"1 onion, 2 chicken breasts, 800 ml tomatoes (canned), 2 tbsp oregano, 40 g Parmesan, 80 g breadcrumbs, 2 eggs, salt, pepper, vegetable oil for frying, Parmesan for serving","Finely dice onion. Cut each chicken breast into three equal-sized pieces. In a large saucepan, sauté onion in some vegetable oil over medium heat for approx. 3 – 4 min. until translucent. Add tomatoes and oregano to pan and cook for approx. 8 – 10 min. until sauce begins to thicken. Season with salt and pepper. In a large bowl, mix together Parmesan and breadcrumbs. Season with salt and pepper. In a separate large bowl, beat together two eggs until foamy. Using tongs, dip chicken cutlets into the egg mixture and then the breadcrumb mixture. Place on a plate and set aside. In a large frying pan, sauté chicken in some vegetable oil over medium heat for approx. 2 - 3 min. per side until golden. Set aside. Strain sauce through a food mill into a large bowl. On a plate, layer tomato sauce and chicken cutlets. Garnish with freshly shaved Parmesan, if desired. Enjoy!","Cal634, Fat18 g, Protein56 g, Carb61 g","italian,weeknight dinner,main,cheese,comfort food,poultry,savory,frying,for two,dairy,herbs,vegetables"
One Pan Ranch Chicken,https://www.kitchenstories.com/en/recipes/one-pan-ranch-chicken-a863,Easy 👌,5 min,60 min,0 min,4,,No ratings,"2 chicken breasts, 1 bag small red potatoes (you will use about ¾ of the bag), 16 oz green beans (or 2 cans), 2 packages ranch powder, 1 stick butter",Preheat oven to 350°F. Grease pan. Cut chicken breasts in half and lay in the center of the pan. Quarter potatoes. Place on one side of the chicken. Place green beans on the other side of the chicken. Melt butter and pour over entire dish. Sprinkle ranch packets evenly over entire dish. Cover with aluminum foil. Bake for 1 hour or until chicken has reached 165°F.,N/A,"kid friendly,main,american,comfort food,poultry,savory,oven"
Lemon shredded chicken,https://www.kitchenstories.com/en/recipes/lemon-shredded-chicken-f15c,Easy 👌,35 min,0 min,0 min,5,,Based on 6 ratings,"4 chicken breasts, 1 onion, 500 ml chicken stock, 1 lemon, 3 cloves garlic, 180 g brown mushrooms, Handful of dried apricots, 3 bay leaves, 1 tsp Paprika, 1 tsp ground nutmeg, Bunch of fresh basil, Bunch of fresh chives, 1 tsp dried oregano, 1 tsp sugar, 1 tbsp soy sauce, 1 tsp Worcestershire sauce, Knob of butter, salt, pepper","Season and fry off chicken breast for 4 minutes each side. Quarter the lemon, roughly chop onion basil and chives, crush garlic and add to the pan with chicken stock, sugar, bay leaves, nutmeg, paprika and oregano. Season with salt and pepper. Put lid on and simmer over medium heat for 8 minutes. Stir occasionally. Slice mushrooms and roughly chop apricots. Add to the pan with soy sauce and Worcester sauce. Simmer with lid on for 15-20 minutes, stirring and flipping chicken occasionally. Take the chicken out and shred with two forks. Stir all the shredded chicken back into the sauce. Serve with chives and basil sprinkled over.",N/A,"weeknight dinner,one pot,side,main,american,poultry,dinner party,savory,mushrooms,herbs,spring"
Salt & Chilli Chicken & Chips,https://www.kitchenstories.com/en/recipes/salt-chilli-chicken-chips-1c6d,Easy 👌,20 min,30 min,0 min,4,,Based on 3 ratings,"400 g chicken breasts, 500 g potatoes, 1 onion, 1 green bell pepper, ½ red bell pepper, 2 chillies, 80 g flour, 80 g cornflour, 1 tsp baking powder, 2 egg whites, 30 ml rice wine, 30 ml soy sauce, 1 tbsp vegetable oil, 1 tbsp salt, ½ tbsp caster sugar, ½ tsp Chinese five-spice powder, 2 tsp chili flakes, ¼ tsp ground ginger, ½ tsp garlic powder, ¼ tsp white pepper","Par boil potatoes for 8 minutes and toss with flour. Mix spice ingredients. Marinate chicken with egg whites and half spice mix for 45 min. Coat chicken in flour mix. Bake chicken and chips at 200°C for 20 min. Stir-fry onions, peppers, chillies in wok. Add soy sauce and rice wine. Add chips with spice mix, then separately add chicken with remaining spice mix.",N/A,"chinese,weeknight dinner,spicy,main,crowd pleaser,comfort food,poultry,spices,vegetables"
Easy Chicken-Curry,https://www.kitchenstories.com/en/recipes/easy-chicken-curry-db89,Easy 👌,30 min,0 min,0 min,4,,No ratings,"600 g chicken breasts, 6 carrots, 1 onion, 4 Spring onion, 150 ml vegetable broth, 200 g cream, pepper, salt, curry powder, oil, hot paprika powder, lemon juice, flour, chili, 250 g rice","Cut chicken, onions and carrots. Roast the chicken in some oil. Cook rice. Put chicken aside and roast onions and vegetable in some oil. Add chicken to the pan again. Add chicken broth and cream, add seasoning and taste. Add flour if too thin.",N/A,"indian,weeknight dinner,main"
Rosemary roast chicken,https://www.kitchenstories.com/en/recipes/rosemary-roast-chicken,Easy 👌,15 min,50 min,0 min,4,514,Based on 14 ratings,"1 kg chicken leg, 3 cloves garlic, 3 leeks, 3 sprigs rosemary, 250 ml hard cider, 400 g canned white beans, 30 g blue cheese, 3 tbsp light crème fraîche, salt, pepper","Preheat the oven to 180°C. Put the chicken into a large cold shallow casserole pan and place on a high heat. Fry for 10 minutes, or until golden all over, turning regularly, while you peel and finely slice the garlic, and wash, trim and very finely slice the leeks. Pick and roughly chop the rosemary leaves, then add to the pan with the garlic and leeks, season with sea salt and black pepper, mix well and cook for a couple of minutes to soften slightly. Make sure the chicken is skin side up, then pour in the cider, half-drain and add the beans, and roast for 45 minutes, or until the chicken pulls easily away from the bone. Move the pan to a medium-high heat on the hob. Bomb in little nuggets of Stilton and add the crème fraîche. Mix well, simmer for a just few minutes, then you're ready to serve.","Cal514, Fat28 g, Protein47 g, Carb15 g","roasting,weeknight dinner,one pot,main,cheese,gluten free,comfort food,poultry,savory,for four,alcohol,dairy,herbs,autumn,winter,oven"
