Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Rating Count,Saves,Cal,Description,Ingredients,Instructions,Nutrition,Tags
"Baked feta pasta with spinach","https://www.kitchenstories.com/en/recipes/baked-feta-pasta-with-spinach","Easy 👌","10 min","35 min","0 min","4","78","28.3k","702","A spinach twist on the viral TikTok feta pasta! Creamy, cheesy, and packed with greens. Ready in 45 minutes.","400 g pasta, 400 g cherry tomatoes, 200 g feta cheese, 200 g spinach, 4 cloves garlic, 60 ml olive oil, 5 g basil, 1 tsp chili flakes, salt, pepper","Preheat the oven to 200°C/400°F. Place cherry tomatoes and whole garlic cloves in a baking dish. Place the block of feta cheese in the center. Drizzle with olive oil and season with chili flakes, salt, and pepper. Bake for approx. 30 - 35 min. until tomatoes are bursting and feta is golden. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Remove the baking dish from the oven and mash the tomatoes, garlic, and feta together. Add spinach and stir until wilted. Add the pasta and toss to combine, adding pasta water as needed. Roughly chop the basil and stir into the pasta. Serve immediately. Enjoy!","Cal702, Fat35 g, Protein24 g, Carb71 g","italian, weeknight dinner, vegetarian, main, cheese, crowd pleaser, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, baking"
"Garlic butter shrimp pasta","https://www.kitchenstories.com/en/recipes/garlic-butter-shrimp-pasta","Easy 👌","10 min","15 min","0 min","2","56","19.7k","745","This garlic butter shrimp pasta is rich, garlicky, and ready in just 25 minutes. Restaurant-quality at home!","250 g linguine, 300 g shrimp, 100 g butter, 6 cloves garlic, 1 lemon, 5 g parsley, 1 tsp chili flakes, salt, pepper","Peel and devein the shrimp. Finely chop the garlic. Zest and juice the lemon. Roughly chop the parsley. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large pan, melt butter over medium-high heat. Add garlic and chili flakes and cook for approx. 1 min. Add shrimp and cook for approx. 3 - 4 min. until pink and cooked through. Add lemon zest and juice. Add the pasta and toss to combine, adding pasta water as needed. Season with salt and pepper. Serve with parsley. Enjoy!","Cal745, Fat44 g, Protein39 g, Carb52 g","italian, weeknight dinner, main, pasta, seafood, comfort food, savory, for two, dairy, sauteing"
"Butternut squash pasta","https://www.kitchenstories.com/en/recipes/butternut-squash-pasta","Easy 👌","20 min","30 min","0 min","4","41","12.5k","628","This creamy butternut squash pasta is sweet, savory, and perfect for fall. Ready in 50 minutes!","400 g pasta, 600 g butternut squash, 1 onion, 3 cloves garlic, 200 ml heavy cream, 200 ml vegetable broth, 50 g Parmesan cheese, 1 tsp nutmeg, 5 g sage, 2 tbsp olive oil, salt, pepper","Peel and dice the butternut squash. Finely chop the onion and garlic. Roughly chop the sage. Heat olive oil in a large pan over medium heat. Add onion and cook for approx. 3 - 4 min. until softened. Add butternut squash and cook for approx. 10 - 15 min. until tender. Add garlic and nutmeg and cook for approx. 1 min. more. Add vegetable broth and simmer for approx. 5 min. Use an immersion blender to puree the sauce until smooth. Add heavy cream and bring to a simmer. Stir in Parmesan cheese and season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with sage and more Parmesan cheese. Enjoy!","Cal628, Fat28 g, Protein17 g, Carb76 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, autumn, sauteing"
"Tuscan chicken pasta","https://www.kitchenstories.com/en/recipes/tuscan-chicken-pasta","Easy 👌","15 min","25 min","0 min","4","63","22.1k","874","This Tuscan chicken pasta is creamy, garlicky, and loaded with sun-dried tomatoes and spinach. Ready in 40 minutes!","400 g penne, 500 g chicken breast, 100 g sun-dried tomatoes in oil, 200 g spinach, 3 cloves garlic, 300 ml heavy cream, 100 ml chicken broth, 50 g Parmesan cheese, 2 tbsp olive oil, 1 tsp Italian seasoning, salt, pepper","Cut the chicken breast into bite-sized pieces and season with Italian seasoning, salt, and pepper. Finely chop the garlic and sun-dried tomatoes. Heat olive oil in a large pan over medium-high heat. Add chicken and cook for approx. 5 - 7 min. until browned and cooked through. Remove from pan and set aside. In the same pan, add garlic and cook for approx. 1 min. Add sun-dried tomatoes and cook for approx. 2 min. more. Add chicken broth and heavy cream. Bring to a simmer and cook for approx. 5 - 7 min. until the sauce has thickened. Add spinach and stir until wilted. Stir in Parmesan cheese and season with salt and pepper. Add the chicken back to the pan. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Enjoy!","Cal874, Fat48 g, Protein51 g, Carb66 g","italian, weeknight dinner, main, cheese, pasta, comfort food, savory, for four, dairy, chicken, vegetables, sauteing"
"Creamy tomato tortellini soup","https://www.kitchenstories.com/en/recipes/creamy-tomato-tortellini-soup","Easy 👌","10 min","20 min","0 min","4","52","18.2k","548","This creamy tomato tortellini soup is cozy, comforting, and ready in 30 minutes. Perfect for busy weeknights!","400 g cheese tortellini, 1 can crushed tomatoes, 1 onion, 3 cloves garlic, 600 ml vegetable broth, 200 ml heavy cream, 50 g Parmesan cheese, 5 g basil, 2 tbsp olive oil, 1 tsp Italian seasoning, salt, pepper","Finely chop the onion and garlic. Roughly chop the basil. Heat olive oil in a large pot over medium heat. Add onion and cook for approx. 3 - 4 min. until softened. Add garlic and Italian seasoning and cook for approx. 1 min. more. Add crushed tomatoes and vegetable broth. Bring to a boil, then reduce heat and simmer for approx. 10 min. Stir in heavy cream and bring back to a simmer. Add tortellini and cook according to package instructions. Stir in Parmesan cheese and season with salt and pepper. Serve with basil and more Parmesan cheese. Enjoy!","Cal548, Fat28 g, Protein21 g, Carb55 g","italian, weeknight dinner, vegetarian, one pot, soup, main, cheese, pasta, comfort food, Meatless, european, savory, for four, dairy, sauteing"
"Lemon ricotta pasta","https://www.kitchenstories.com/en/recipes/lemon-ricotta-pasta","Easy 👌","10 min","15 min","0 min","2","38","11.9k","712","This lemon ricotta pasta is creamy, bright, and ready in 25 minutes. Simple ingredients, maximum flavor!","250 g pasta, 200 g ricotta cheese, 2 lemons, 3 cloves garlic, 50 g Parmesan cheese, 5 g basil, 3 tbsp olive oil, salt, pepper","Zest and juice the lemons. Finely chop the garlic. Roughly chop the basil. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large bowl, mix together ricotta cheese, lemon zest, lemon juice, and Parmesan cheese. In a pan, heat olive oil over medium heat. Add garlic and cook for approx. 1 min. Add the pasta and ricotta mixture to the pan. Toss to combine, adding pasta water as needed to create a creamy sauce. Season with salt and pepper. Serve with basil and more Parmesan cheese. Enjoy!","Cal712, Fat36 g, Protein24 g, Carb71 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, sauteing"
"Brown butter sage pasta","https://www.kitchenstories.com/en/recipes/brown-butter-sage-pasta","Easy 👌","10 min","15 min","0 min","2","32","9.8k","658","This brown butter sage pasta is nutty, aromatic, and ready in 25 minutes. Elegance in its simplicity!","250 g pasta, 100 g butter, 10 g sage, 3 cloves garlic, 50 g Parmesan cheese, salt, pepper","Roughly chop the sage. Finely chop the garlic. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large pan, melt butter over medium heat. Continue cooking, stirring frequently, until the butter turns golden brown and smells nutty (approx. 3 - 5 min.). Add sage and garlic and cook for approx. 1 - 2 min. until crispy. Add the pasta and toss to combine, adding pasta water as needed. Stir in Parmesan cheese and season with salt and pepper. Serve immediately. Enjoy!","Cal658, Fat44 g, Protein16 g, Carb52 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, herbs, sauteing"
"Creamy pesto pasta","https://www.kitchenstories.com/en/recipes/creamy-pesto-pasta","Easy 👌","10 min","15 min","0 min","2","67","24.3k","782","This creamy pesto pasta is rich, herby, and ready in 25 minutes. The perfect marriage of pesto and cream!","250 g pasta, 100 g basil pesto, 200 ml heavy cream, 3 cloves garlic, 50 g Parmesan cheese, 5 g basil, 2 tbsp olive oil, salt, pepper","Finely chop the garlic. Roughly chop the basil. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large pan, heat olive oil over medium heat. Add garlic and cook for approx. 1 min. Add basil pesto and heavy cream. Bring to a simmer and cook for approx. 3 - 5 min. until the sauce has thickened. Add the pasta and toss to combine, adding pasta water as needed. Stir in Parmesan cheese and season with salt and pepper. Serve with basil and more Parmesan cheese. Enjoy!","Cal782, Fat53 g, Protein21 g, Carb58 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, herbs, sauteing"
"Carbonara","https://www.kitchenstories.com/en/recipes/carbonara","Medium 👍","10 min","15 min","0 min","4","124","48.7k","728","The iconic Roman pasta! Creamy, eggy, and porky perfection. Ready in 25 minutes.","400 g spaghetti, 200 g guanciale or pancetta, 4 egg yolks, 100 g Pecorino Romano cheese, black pepper","Cut the guanciale into small strips. Grate the Pecorino Romano cheese. In a bowl, whisk together egg yolks, Pecorino Romano cheese, and a generous amount of black pepper. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large pan, cook guanciale over medium heat for approx. 5 - 7 min. until crispy. Remove from heat. Add the pasta to the pan with guanciale. Add the egg mixture and toss quickly, adding pasta water a little at a time until the sauce is creamy and coats the pasta. Season with more black pepper. Serve immediately. Enjoy!","Cal728, Fat42 g, Protein28 g, Carb56 g","italian, weeknight dinner, main, cheese, crowd pleaser, pasta, comfort food, savory, for four, dairy, pork, sauteing"
"Cacio e pepe","https://www.kitchenstories.com/en/recipes/cacio-e-pepe","Easy 👌","5 min","15 min","0 min","2","82","29.6k","612","This Roman classic is cheese, pepper, and pasta in perfect harmony. Ready in 20 minutes!","250 g spaghetti, 100 g Pecorino Romano cheese, 2 tsp black pepper","Grate the Pecorino Romano cheese. Toast black pepper in a dry pan over medium heat for approx. 1 min. until fragrant. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large bowl, mix together Pecorino Romano cheese and toasted black pepper. Add the hot pasta and toss, adding pasta water a little at a time until the cheese melts and forms a creamy sauce. Season with more pepper if desired. Serve immediately. Enjoy!","Cal612, Fat22 g, Protein26 g, Carb74 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, sauteing"
"Aglio e olio","https://www.kitchenstories.com/en/recipes/traditional-garlic-and-olive-oil-pasta","Easy 👌","5 min","15 min","0 min","2","428","93.7k","558","The ultimate Italian pantry pasta! Garlicky, spicy, and ready in 20 minutes.","250 g spaghetti, 6 cloves garlic, 80 ml olive oil, 1 tsp chili flakes, 5 g parsley, salt","Thinly slice the garlic. Roughly chop the parsley. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In a large pan, heat olive oil over medium-low heat. Add garlic and chili flakes and cook for approx. 2 - 3 min. until garlic is golden (don't let it burn!). Add the pasta and toss to combine, adding pasta water as needed. Season with salt. Serve with parsley. Enjoy!","Cal558, Fat30 g, Protein12 g, Carb62 g","italian, weeknight dinner, vegetarian, main, pasta, comfort food, Meatless, european, savory, for two, lactose free, dairy free, herbs, sauteing"
"Amatriciana","https://www.kitchenstories.com/en/recipes/amatriciana","Easy 👌","10 min","25 min","0 min","4","47","15.2k","642","This Roman classic is tomato-y, porky, and spicy. Ready in 35 minutes!","400 g bucatini, 200 g guanciale or pancetta, 1 can crushed tomatoes, 1 onion, 3 cloves garlic, 100 g Pecorino Romano cheese, 1 tsp chili flakes, 3 tbsp olive oil, salt","Cut the guanciale into small strips. Finely chop the onion and garlic. Grate the Pecorino Romano cheese. In a large pan, cook guanciale over medium heat for approx. 5 - 7 min. until crispy. Remove from pan and set aside. In the same pan, add olive oil, onion, and chili flakes. Cook for approx. 3 - 4 min. until onion is softened. Add garlic and cook for approx. 1 min. more. Add crushed tomatoes and bring to a simmer. Cook for approx. 15 min. until the sauce has thickened. Season with salt. Add the guanciale back to the pan. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with Pecorino Romano cheese. Enjoy!","Cal642, Fat32 g, Protein24 g, Carb64 g","italian, weeknight dinner, main, cheese, pasta, comfort food, savory, for four, dairy, pork, sauteing"
"Arrabbiata","https://www.kitchenstories.com/en/recipes/arrabbiata","Easy 👌","10 min","20 min","0 min","4","58","19.7k","518","This spicy tomato pasta is bold, garlicky, and ready in 30 minutes. An Italian classic!","400 g penne, 1 can crushed tomatoes, 4 cloves garlic, 2 tsp chili flakes, 5 g parsley, 60 ml olive oil, salt","Finely chop the garlic. Roughly chop the parsley. Heat olive oil in a large pan over medium heat. Add garlic and chili flakes and cook for approx. 1 - 2 min. until fragrant (don't let the garlic burn!). Add crushed tomatoes and bring to a simmer. Cook for approx. 15 min. until the sauce has thickened. Season with salt. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with parsley. Enjoy!","Cal518, Fat18 g, Protein13 g, Carb77 g","italian, weeknight dinner, vegetarian, vegan, main, pasta, comfort food, Meatless, european, savory, for four, lactose free, dairy free, herbs, sauteing"
