Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Rating Count,Saves,Cal,Description,Ingredients,Instructions,Nutrition,Tags
Crispy potato galette with smoked salmon,https://www.kitchenstories.com/en/recipes/crispy-potato-galette-with-smoked-salmon,Medium 😐,20 min,50 min,5 min,6,3,1600,441,Based on 3 ratings,"1.2 kg waxy potatoes, 80 g butter, 1 clove garlic, 100 g Parmesan cheese, 120 ml crème fraîche, 15 g dill, ½ lemon, 230 g smoked salmon, 1 red onion, 30 g capers, 7 g chives, salt, pepper","Preheat oven to 200°C. Slice potatoes thinly, chop garlic, melt butter with garlic, then mix with potatoes, seasoning generously. Grate Parmesan finely. Arrange potato slices in overlapping circles in cast iron pan, sprinkling Parmesan between layers. Bake for 60-80 minutes until golden and crispy. Meanwhile, slice onion, chop dill and chives, drain capers, zest lemon. Mix crème fraîche with dill, lemon zest, juice, salt, and pepper. Transfer galette to serving platter. Spread herb mixture on top, garnish with salmon slices, onion, capers, and chives. Serve immediately.","Cal 441, Fat 25 g, Protein 18 g, Carb 32 g","baking,roasting,main,salty,cheese,comfort food,fish,dinner party,french,european,savory,nordic"
Flavorful carrot salad with crispy Beluga lentils,https://www.kitchenstories.com/en/recipes/flavorful-carrot-salad-with-crispy-beluga-lentils,Easy 😊,30 min,15 min,0 min,4,4,815,659,Based on 4 ratings,"125 g beluga lentils, 200 g carrots, 4 tbsp olive oil, ½ red onion, 4 dried apricots, 30 g hazelnuts, 10 g parsley, 1 tsp ras el hanout, 1 tsp maple syrup, ½ tsp lemon zest, 1½ tbsp sherry vinegar, chili, salt, pepper","Preheat oven to 220°C. Cook lentils per package and drain. Spread on baking sheet, drizzle with ¼ of olive oil, season with salt, and roast 15 minutes until crispy. Peel carrots and cut into strips. Slice red onion into rings. Cut apricots into strips. Add all to bowl. Chop hazelnuts and parsley; set aside. Heat remaining olive oil, add hazelnuts and Ras el Hanout, sear briefly. Pour mixture over bowl ingredients. Add maple syrup, lemon zest, and sherry vinegar. Season; toss well. Remove roasted lentils and add to bowl with parsley. Toss again, re-season. Serve warm or chilled.","Cal 659, Fat 37 g, Protein 20 g, Carb 67 g","vegan,vegetarian,middle eastern,weeknight dinner,gluten-free,superfood,brunch,dinner party"
Fried pumpkin and chorizo pasta,https://www.kitchenstories.com/en/recipes/fried-pumpkin-and-chorizo-pasta,Easy 😊,30 min,0 min,0 min,2,6,1200,1006,Based on 6 ratings,"200 g Hokkaido pumpkin, 1 onion, 2 cloves garlic, 2 tbsp olive oil, 150 g chorizo, 3 sprigs thyme, 200 g chicken stock, 250 g orecchiette pasta, 50 g Parmesan cheese, salt, pepper","Dice onion and garlic. Halve pumpkin, deseed, and dice flesh. Sear chorizo until browned; remove from pan. Sauté onions until translucent, add garlic and thyme. Combine with pumpkin and chorizo; simmer with stock until pumpkin softens. Cook pasta slightly underdone, reserving pasta water. Combine with sauce, boil 2 minutes until creamy. Stir in Parmesan before serving.","Cal 1006, Fat 47 g, Protein 39 g, Carb 107 g","italian,roasting,weeknight dinner,spicy,comfort food,autumn,sautéing,pasta,main"
Easy tempeh stir-fry with crunchy veggies,https://www.kitchenstories.com/en/recipes/easy-tempeh-stir-fry-with-crunchy-veggies,Easy 😊,30 min,0 min,0 min,2,4,946,365,Based on 4 ratings,"200 g tempeh, 200 g broccolini, 1 red bell pepper, 2 scallions, 2 garlic cloves, 10 g ginger, 1 tbsp cornstarch, 2 tbsp soy sauce, 2 tbsp sweet chili sauce, 4 tbsp water, 75 g baby spinach, 2 tbsp sesame oil, sesame seeds, jasmine rice, oil","Cut broccolini, slice bell pepper and scallions, chop garlic and ginger. Cut tempeh, dust with half the cornstarch. Heat oil; fry tempeh 5 minutes until golden, then set aside. Sauté broccolini, bell pepper, scallion whites, garlic, and ginger 3-4 minutes. Mix soy sauce, sweet chili sauce, and remaining cornstarch with water, then add to vegetables. Simmer briefly, then stir in tempeh and baby spinach. Season. Finish with sesame oil drizzle and garnish with scallion greens and sesame seeds. Serve with rice.","Cal 365, Fat 14 g, Protein 27 g, Carb 38 g","vegan,weeknight dinner,asian,quick dinners,stir-fries,salty,spicy,meatless,lactose-free"
Warm bulgur salad with roasted zucchini and radicchio,https://www.kitchenstories.com/en/recipes/warm-bulgur-salad-with-roasted-zucchini-and-radicchio,Medium 😐,25 min,25 min,0 min,4,2,735,293,Based on 2 ratings,"200 g bulgur, 360 ml water, 2 zucchini, 230 g canned chickpeas, 2 cloves garlic, 200 g red grapes, 3 tbsp olive oil, 1 radicchio, 40 g butter, 40 g pine nuts, 10 g parsley, 1 lemon, 1 tbsp honey, salt, pepper","Preheat oven to 200°C. Cook bulgur with water, simmer 10 minutes, rest 5 minutes. Cut zucchini into slices. Rinse chickpeas. Mince garlic. Combine zucchini, chickpeas, grapes, garlic, olive oil, salt, and pepper. Roast 20-25 minutes. Quarter radicchio, remove stalk, cut coarsely. Melt butter, brown slightly. Add pine nuts and radicchio; sauté 1 minute. Season. Chop parsley. Zest lemon and squeeze juice. Whisk lemon juice, olive oil, honey, salt, and pepper for dressing. Combine bulgur, roasted vegetables, and radicchio mixture. Drizzle dressing, add parsley and lemon zest. Mix and serve warm.","Cal 293, Fat 16 g, Protein 7 g, Carb 32 g","baking,roasting,middle eastern,weeknight dinner,vegetarian,salad,main,comfort food,autumn,winter"
Easy butter bean curry with pumpkin,https://www.kitchenstories.com/en/recipes/easy-butter-bean-curry-with-pumpkin,Easy 😊,30 min,0 min,0 min,2,6,1400,478,Based on 6 ratings,"400 g Hokkaido pumpkin, 1 onion, 1 clove garlic, 5 g ginger, 1 tsp curry powder, ½ tsp ground cumin, ½ tsp ground turmeric, ½ tsp ground coriander, 400 g canned diced tomatoes, 175 ml vegetable broth, 400 g canned butter beans, 140 ml coconut milk, olive oil, cilantro, basmati rice, naan bread, salt","Wash and dice pumpkin. Chop onion, garlic, and ginger. Sauté aromatics in olive oil until onion is translucent. Fry spices for 30 seconds until fragrant. Add pumpkin and tomatoes. Pour in broth and coconut milk. Bring to boil, then simmer covered 10-15 minutes until pumpkin is tender. Blend half the mixture until smooth. Add rinsed butter beans and stir. Simmer 5 minutes. Season with salt. Serve with rice, naan, and cilantro garnish.","Cal 478, Fat 14 g, Protein 14 g, Carb 80 g","indian,vegetarian,vegan,spicy,comfort food,weeknight dinner,curry,main"
Pasta al Ragù Bianco,https://www.kitchenstories.com/en/recipes/pasta-al-ragu-bianco,Easy 😊,60 min,0 min,0 min,4,5,1400,1100,Based on 5 ratings,"250 g pappardelle pasta, 250 g mixed ground meat, 75 g Italian sausages, 38 g pancetta, ½ carrot, ½ celery stalk, ½ onion, 100 ml dry white wine, 100 ml beef stock, 1.5 sprigs thyme, 1 sprig sage, ½ sprig rosemary, ½ bay leaf, 1 tsp lemon zest, 25 g butter, Parmesan cheese, salt, pepper","Dice vegetables finely. Remove sausage from casing. Heat olive oil; fry pancetta and sausage 3 minutes. Add ground meat, cook 5 minutes more, seasoning with salt and pepper. Add diced vegetables, sauté 5-7 minutes. Deglaze with white wine, reduce 3 minutes. Pour in beef stock. Add thyme, sage, rosemary, and bay leaf. Simmer on low heat 45-60 minutes (half covered). Add stock as needed. Stir in butter for glossy sauce. Cook pappardelle until al dente. Reserve pasta water, drain, and combine with ragù. Grate lemon zest; stir half into sauce. Top with Parmesan and remaining zest.","Cal 1100, Fat 57 g, Protein 48 g, Carb 97 g","italian,slow cooking,comfort food,pasta,beef,pork,sausage,dinner party,autumn,winter"
Creamy 15-minute marry me chickpeas,https://www.kitchenstories.com/en/recipes/creamy-15-minute-marry-me-chickpeas,Easy 😊,15 min,0 min,0 min,3,14,2900,796,Based on 14 ratings,"2 packages canned chickpeas, 1 onion, 2 cloves garlic, 60 g sun-dried tomatoes, 2 tbsp tomato paste, 210 ml vegetable broth, 200 g light crème fraîche, 60 g Parmesan cheese, 2 tbsp olive oil, ½ tsp dried thyme, ½ tsp chili flakes, 50 g baby spinach, salt, pepper","Sauté diced onion and garlic in olive oil for 3 minutes. Add tomato paste and sun-dried tomatoes, cooking 1-2 minutes more. Deglaze with vegetable broth. Add drained chickpeas, crème fraîche, ¾ of Parmesan, thyme, and chili flakes. Simmer 5-7 minutes until creamy. Season with salt and pepper. Fold in baby spinach and wilt 1-2 minutes. Serve topped with additional Parmesan.","Cal 796, Fat 36 g, Protein 33 g, Carb 86 g","kid-friendly,weeknight dinner,vegetarian,one-pot,spicy,comfort food,gluten-free,crowd-pleaser"
Bang bang salmon bowl,https://www.kitchenstories.com/en/recipes/bang-bang-salmon-bowl,Medium 😐,20 min,10 min,0 min,2,8,1500,1212,Based on 8 ratings,"2 salmon fillets, 80 ml mayonnaise, 30 ml sweet chili sauce, 10 ml Sriracha, ½ tsp sweet paprika powder, ½ tsp garlic powder, 15 ml olive oil, 180 g rice, 50 g red cabbage, 50 g carrots, ¼ cucumber, 80 g edamame beans, 1 avocado, ½ tbsp black sesame seeds, salt, pepper","Preheat oven to 200°C. Mix mayonnaise, sweet chili sauce, and Sriracha. Season salmon with paprika, garlic powder, salt, and pepper. Bake salmon on parchment-lined sheet with oil for 8-10 minutes. Cook rice per package and prepare vegetables (slice cabbage, grate carrots). Slice avocado and cucumber. Cook edamame 2-3 minutes, drain, and remove pods. Mix salmon with half the bang bang sauce. Assemble bowls with rice, vegetables, and salmon. Garnish with remaining sauce and sesame seeds.","Cal 1212, Fat 70 g, Protein 44 g, Carb 100 g","japanese,seafood,salad,salty,spicy,main,crowd pleaser,fish,bowl"
Mediterranean cabbage rolls with lentil zucchini filling,https://www.kitchenstories.com/en/recipes/mediterranean-cabbage-rolls-with-lentil-zucchini-filling,Medium 😐,35 min,25 min,0 min,4,4,873,631,Based on 4 ratings,"½ pointed cabbage, ½ zucchini, 100 g feta cheese, 1.5 shallots, 1 tbsp olive oil, 150 g cooked lentils, ½ tsp sweet paprika powder, 200 g canned crushed tomatoes, 100 g ajvar, 1.5 tsp Worcestershire sauce, butter, salt, pepper","Preheat oven to 180°C. Remove cabbage leaves, blanch 1-2 minutes in salted water, then ice-bath and drain. Drain and rinse lentils. Cube zucchini, mince shallot, crumble feta. Sauté shallot in olive oil 2 minutes until translucent, add zucchini and fry 5 minutes more. Fold in lentils and feta off heat; season with salt, pepper, and paprika. Fill each cabbage leaf with 2 tbsp filling, fold sides, and roll tightly. Mix tomatoes, ajvar, Worcestershire sauce, salt, and pepper in baking dish. Place rolls seam-side down, dot with butter, bake 20-25 minutes until golden.","Cal 631, Fat 27 g, Protein 32 g, Carb 76 g","greek,roasting,vegetarian,salty,spicy,main,cheese,crowd pleaser,comfort food,dinner party"
Spanakopita pasta (Spanakopasta),https://www.kitchenstories.com/en/recipes/spanakopita-pasta-spanakopasta,Easy 😊,20 min,0 min,0 min,2,1,1000,2159,Based on 1 rating,"300 g spinach, 150 g feta cheese, 250 g spaghetti, 1 onion, 2 cloves garlic, 2 tbsp olive oil, 15 g dill, 15 g parsley, 1 lemon, 2 tbsp butter, 60 g panko breadcrumbs, 1 tsp dried oregano, ¼ tsp ground nutmeg, salt, pepper","Finely chop herbs. Melt butter, toast panko until golden, stir in herbs and oregano, season, and set aside. Dice onion and mince garlic. Heat olive oil, sauté onion until translucent, add garlic briefly, then wilt spinach in batches. Season with salt, pepper, and nutmeg. Cook spaghetti al dente in salted water; reserve pasta water. Zest and juice lemon. Crumble feta, combine with cooked pasta and spinach mixture, add lemon zest and juice, adjust sauce consistency with reserved water. Top with panko mixture and remaining feta.","Cal 2159, Fat 90 g, Protein 74 g, Carb 267 g","italian,greek,weeknight dinner,vegetarian,pasta,comfort food,fresh herbs,dairy"
One pan charred corn and shrimp orzo,https://www.kitchenstories.com/en/recipes/one-pan-charred-corn-and-shrimp-orzo,Medium 😐,40 min,0 min,5 min,3,6,1100,693,Based on 6 ratings,"2 sweet corn cobs, 1 onion, 2 garlic cloves, 1 celery stalk, 1 bell pepper, 1 lime, 300 g shrimp, 200 g orzo pasta, 600 ml vegetable stock, 160 ml cream, oil, 2 tsp smoked paprika powder, 1 tsp dried thyme, 1 tsp dried oregano, ½ tsp cayenne pepper, salt, pepper, sugar, parsley","Dice onion finely. Chop garlic. Trim and dice celery and bell pepper. Slice corn kernels from cob. Halve lime. Chop parsley. Pat shrimp dry; toss with paprika, thyme, oregano, cayenne, sugar, salt, and pepper. Heat oil; sear shrimp 2 minutes per side until pink. Remove and set aside. Add oil; char corn kernels 5-7 minutes until browned. Sauté diced vegetables 3-4 minutes. Toast orzo briefly. Deglaze with stock and cream. Bring to boil; cover and simmer 10-12 minutes, stirring occasionally. Return shrimp; warm 2-3 minutes. Juice half the lime; season with lime juice, parsley, salt, and pepper. Rest 5 minutes. Serve with lime wedges.","Cal 693, Fat 27 g, Protein 34 g, Carb 83 g","one-pot,seafood,spicy,main,pasta,weeknight dinner,dinner party"
Crispy air fryer Wiener schnitzel,https://www.kitchenstories.com/en/recipes/crispy-air-fryer-wiener-schnitzel,Easy 😊,30 min,0 min,0 min,4,3,522,652,Based on 3 ratings,"500 g veal cutlets, 4 eggs, 100 ml milk, 200 g flour, 200 g breadcrumbs, 1 lemon, butter, oil, salt, pepper, potato salad","Whisk together eggs and milk. Cut veal into portions. Beat veal as thinly as possible without creating holes. Season cutlets with salt and pepper. Dredge each piece first in flour, then in egg mixture, and finally in breadcrumbs. Brush the coated schnitzel generously with oil or clarified butter. Bake in the air fryer one at a time for 12 minutes at 200°C, flipping halfway through. Serve with lemon wedge and homemade potato salad.","Cal 652, Fat 18 g, Protein 43 g, Carb 78 g","kid friendly,weeknight dinner,salty,main,pork,air frying,european,savory"
Juicy air fryer salmon and vegetables,https://www.kitchenstories.com/en/recipes/juicy-air-fryer-salmon-and-vegetables,Easy 😊,20 min,20 min,0 min,2,0,469,513,New recipe,"280 g salmon fillets, 1 red bell pepper, ½ zucchini, ½ eggplant, 1 onion, ½ stalk leek, 8 leaves mint, 1 clove garlic, 2 sprigs rosemary, 2 sprigs thyme, 20 g slivered almonds, 1 lemon, olive oil, salt, pepper","Dice bell pepper, zucchini, and eggplant into small cubes; slice onion and leek thinly. Marinate sliced vegetables in a bowl with olive oil, mint, crushed garlic, rosemary, thyme, salt, and pepper. Distribute vegetables across two parchment sheets. Place salmon portions on top, sprinkle with salt and almonds, add lemon slices. Fold parchment and air fry 15-20 minutes at 140°C.","Cal 513, Fat 30 g, Protein 36 g, Carb 31 g","easy weeknight dinner,air frying,french,gluten-free,lactose-free,pescetarian,for two,herbs,vegetables"
